mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",10,10.84,9.61,7.56,5.93,4.62,3.54
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",12,7.36,6.34,4.65,3.3,2.22,1.33
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",14,4.48,3.62,2.21,1.08,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",16,1.98,1.26,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",18,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",20,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,36.11,32.92,27.61,23.39,19.99,17.19
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,27.42,24.88,20.56,17,14.12,11.77
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,21.03,18.8,15.07,12.12,9.74,7.78
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,15.63,13.74,10.61,8.12,6.12,4.47
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,11.04,9.45,6.79,4.69,2.98,1.59
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,7.24,5.86,3.58,1.77,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,3.96,2.77,0.78,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,1.07,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,71.27,65.13,54.9,46.78,40.23,34.87
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,55.05,50.15,41.99,35.51,30.18,25.73
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,43.86,39.79,32.75,27.16,22.64,18.95
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,34.61,31.03,25.08,20.36,16.55,13.43
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,26.73,23.7,18.64,14.63,11.38,8.73
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,20.33,17.7,13.33,9.87,7.07,4.79
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",20,14.87,12.58,8.78,5.76,3.33,1.33
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",22,10,8,4.67,2.04,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",24,5.95,4.18,1.23,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",26,2.12,0.55,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",28,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",30,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",8,6.06,5.57,4.75,4.09,3.56,3.13
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",10,6.06,5.57,4.75,4.09,3.56,3.13
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",12,6.06,5.57,4.4,3.09,2.03,1.17
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",14,4.22,3.38,2,0.9,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",16,1.75,1.05,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",18,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"5"" x 5-1/2""",20,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,13.1,12.03,10.25,8.84,7.7,6.77
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",10,13.1,12.03,10.25,8.84,7.7,6.77
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",12,13.1,12.03,10.25,8.84,7.7,6.77
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",14,12.95,11.89,10.13,7.95,5.96,4.34
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,10.82,9.24,6.62,4.53,2.85,1.48
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,7.04,5.68,3.43,1.64,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,3.78,2.61,0.65,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,0.91,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,24.92,22.89,19.5,16.81,14.65,12.87
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,24.92,22.89,19.5,16.81,14.65,12.87
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,24.92,22.89,19.5,16.81,14.65,12.87
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,24.63,22.62,19.28,16.62,14.48,12.72
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,24.07,22.11,18.46,14.47,11.25,8.62
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,20.13,17.52,13.18,9.74,6.96,4.68
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,14.69,12.42,8.64,5.65,3.22,1.24
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,9.84,7.86,4.55,1.94,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,5.81,4.05,1.12,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,1.99,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",8,12.13,11.14,9.49,8.18,7.13,6.17
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",10,10.47,9.27,7.26,5.68,4.4,3.35
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",12,7.05,6.06,4.4,3.09,2.03,1.17
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",14,4.22,3.38,2,0.9,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",16,1.75,1.05,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",18,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",20,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",8,26.2,24.06,20.51,17.68,15.4,13.54
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",10,26.2,24.06,20.27,16.75,13.9,11.58
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",12,20.72,18.51,14.83,11.91,9.55,7.62
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",14,15.36,13.5,10.4,7.95,5.96,4.34
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",16,10.82,9.24,6.62,4.53,2.85,1.48
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",18,7.04,5.68,3.43,1.64,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",20,3.78,2.61,0.65,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",22,0.91,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",24,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",8,49.83,45.77,39,33.63,29.3,25.75
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",10,49.83,45.77,38.98,33.61,29.28,25.54
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",12,43.54,39.5,32.51,26.95,22.46,18.79
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",14,34.35,30.79,24.88,20.18,16.4,13.3
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",16,26.51,23.5,18.46,14.47,11.25,8.62
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",18,20.13,17.52,13.18,9.74,6.96,4.68
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",20,14.69,12.42,8.64,5.65,3.22,1.24
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",22,9.84,7.86,4.55,1.94,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",24,5.81,4.05,1.12,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",26,1.99,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",28,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",30,0,0,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",8,22.33,20.33,17.01,14.38,12.25,10.51
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",10,16.78,15.19,12.55,10.46,8.65,7.13
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",12,12.86,11.52,9.12,7.21,5.67,4.41
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",14,9.3,8.09,6.08,4.48,3.2,2.15
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",16,6.18,5.17,3.47,2.13,1.04,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",18,3.57,2.7,1.25,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",20,1.29,0.55,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,49.45,45.18,38.06,32.4,27.84,24.11
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,38.07,34.67,28.98,24.48,20.77,17.61
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,30.2,27.37,22.43,18.46,15.26,12.64
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,23.57,21.03,16.83,13.48,10.78,8.57
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,17.81,15.67,12.09,9.26,6.97,5.09
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,13.1,11.25,8.17,5.73,3.77,2.15
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,9.11,7.5,4.82,2.69,0.98,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,5.65,4.24,1.87,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,2.72,1.46,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,96.76,88.54,74.83,63.95,55.18,47.99
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,75.37,68.82,57.87,49.18,42.17,36.44
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,60.73,55.27,46.18,38.9,32.85,27.89
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,49.27,44.55,36.58,30.23,25.1,20.93
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,39.27,35.19,28.38,22.99,18.63,15.07
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,31.14,27.6,21.73,17.06,13.3,10.22
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",20,24.36,21.27,16.13,12.06,8.76,6.07
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",22,18.54,15.82,11.28,7.69,4.79,2.42
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",24,13.71,11.27,7.21,4,1.4,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",26,9.12,6.94,3.33,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",28,5.23,3.27,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",30,1.44,0,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",8,6.85,6.3,5.36,4.63,4.03,3.54
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",10,6.85,6.3,5.36,4.63,4.03,3.54
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",12,6.85,6.3,5.36,4.63,4.03,3.54
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",14,6.78,6.22,5.3,4.31,3.04,2.01
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",16,5.96,4.96,3.3,1.97,0.91,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",18,3.37,2.52,1.1,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",20,1.12,0,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,14.81,13.6,11.59,10,8.71,7.65
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",10,14.81,13.6,11.59,10,8.71,7.65
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",12,14.81,13.6,11.59,10,8.71,7.65
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",14,14.64,13.44,11.46,9.88,8.6,7.56
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,14.3,13.14,11.2,9.1,6.83,4.98
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,12.91,11.07,8.02,5.6,3.65,2.04
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,8.94,7.34,4.69,2.58,0.88,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,5.49,4.1,1.76,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,2.58,1.34,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,28.17,25.87,22.05,19.01,16.56,14.55
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,28.17,25.87,22.05,19.01,16.56,14.55
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,28.17,25.87,22.05,19.01,16.56,14.55
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,27.85,25.57,21.79,18.79,16.37,14.38
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,27.21,24.99,21.29,18.36,15.99,14.06
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,26.61,24.44,20.82,16.93,13.18,10.1
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,24.19,21.11,16,11.94,8.66,5.98
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,18.39,15.68,11.16,7.59,4.7,2.34
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,13.57,11.14,7.1,3.9,1.32,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,8.99,6.83,3.23,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,5.12,3.17,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,1.34,0,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",8,13.71,12.59,10.73,9.25,8.06,7.08
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",10,13.71,12.59,10.73,9.25,8.06,6.93
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",12,12.55,11.23,8.87,7,5.49,4.25
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",14,9.04,7.85,5.88,4.31,3.04,2.01
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",16,5.96,4.97,3.29,1.98,0.91,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",18,3.37,2.52,1.1,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",20,1.12,0,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",8,29.62,27.2,23.18,19.99,17.41,15.3
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",10,29.62,27.2,23.18,19.99,17.41,15.3
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",12,29.59,27.08,22.19,18.25,15.08,12.48
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",14,23.31,20.79,16.62,13.3,10.63,8.44
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",16,17.59,15.47,11.92,9.1,6.83,4.98
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",18,12.91,11.07,8.02,5.6,3.65,2.04
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",20,8.94,7.34,4.69,2.58,0.88,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",22,5.49,4.1,1.76,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",24,2.58,1.34,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",8,56.33,51.74,44.09,38.02,33.12,29.11
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",10,56.33,51.74,44.09,38.02,33.12,29.11
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",12,56.33,51.74,44.09,38.02,32.66,27.73
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",14,49.01,44.3,36.37,30.06,24.97,20.8
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",16,39.04,34.98,28.21,22.84,18.5,14.96
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",18,30.94,27.42,21.57,16.93,13.18,10.1
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",20,24.19,21.11,16,11.94,8.66,5.98
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",22,18.39,15.68,11.16,7.59,4.7,2.34
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",24,13.57,11.14,7.1,3.9,1.32,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",26,8.99,6.83,3.23,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",28,5.12,3.17,0,0,0,0
DIRECT EMBEDMENT,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",30,1.34,0,0,0,0,0
